sku,name,description,category,unit,unit_price,keywords
HSC-PAV-001,Standard Concrete Paver 4x8,"Basic gray or tan concrete paver, installed on aggregate base",hardscape,sqft,14.50,paver|concrete paver|patio|standard paver
HSC-PAV-002,Premium Tumbled Concrete Paver,"Tumbled finish, multi-tone, installed",hardscape,sqft,18.00,paver|tumbled|premium paver|patio
HSC-PAV-003,Belgard Holland Stone Paver,Belgard brand standard interlocking,hardscape,sqft,16.50,belgard|holland stone|paver
HSC-PAV-004,Belgard Mega-Arbel Paver,"Large-format Belgard, modern look",hardscape,sqft,22.00,belgard|mega arbel|large paver|modern paver
HSC-PAV-005,Travertine Paver Standard 16x24,"Tumbled travertine, installed",hardscape,sqft,24.00,travertine|natural stone|premium paver
HSC-PAV-006,Travertine Paver French Pattern,Mixed-size French-pattern travertine,hardscape,sqft,28.00,travertine|french pattern|premium paver|natural stone
HSC-PAV-007,Flagstone Arizona Buckskin,"Natural Arizona flagstone, dry-laid",hardscape,sqft,22.00,flagstone|natural stone|buckskin|arizona stone
HSC-PAV-008,Flagstone Mortared Install,Flagstone with mortar joints on slab,hardscape,sqft,28.00,flagstone|mortared|natural stone|patio
HSC-PAV-009,Porcelain Paver 24x24,"Large-format porcelain tile, exterior grade",hardscape,sqft,32.00,porcelain|large format|modern paver|patio
HSC-PAV-010,Permeable Paver System,Permeable interlocking paver system,hardscape,sqft,19.50,permeable|eco paver|drainage paver
HSC-PAV-011,Paver Sealing and Joint Sand,Polymeric sand plus sealer application,hardscape,sqft,2.25,paver sealing|polymeric sand|sealer
HSC-PAV-012,Paver Removal and Disposal,Demo of existing pavers,hardscape,sqft,4.50,paver removal|demo|disposal
HSC-CON-001,Standard Broom Finish Concrete,"4 inch pad, broom finish",hardscape,sqft,9.00,concrete|broom finish|pad|slab
HSC-CON-002,Stamped Concrete Single Color,Stamped pattern with integral color,hardscape,sqft,14.00,stamped concrete|decorative concrete
HSC-CON-003,Stamped Concrete Multi-Color,Multi-color stamped with release agent,hardscape,sqft,17.50,stamped concrete|multi color|decorative
HSC-CON-004,Exposed Aggregate Concrete,Exposed aggregate finish,hardscape,sqft,13.00,exposed aggregate|concrete finish
HSC-CON-005,Acid Stained Concrete,Acid stain on new or existing pour,hardscape,sqft,8.50,acid stain|stained concrete|concrete finish
HSC-CON-006,Concrete Demolition and Haul-off,Sawcut and remove existing concrete,hardscape,sqft,6.50,concrete demo|sawcut|removal
HSC-CON-007,Concrete Sealer Application,Penetrating sealer,hardscape,sqft,1.75,concrete sealer|sealer
HSC-CON-008,Decorative Saw Cuts,Patterned saw cuts in concrete,hardscape,lf,4.00,saw cuts|decorative cuts|concrete
HSC-WAL-001,CMU Block Wall Stucco Finish,"Standard 6 ft CMU wall, stuccoed",hardscape,lf,145.00,block wall|cmu|stucco wall|retaining wall
HSC-WAL-002,Belgard Anchor Diamond Pro Wall,Segmental retaining wall block,hardscape,lf,95.00,anchor diamond|belgard wall|segmental wall
HSC-WAL-003,Natural Stone Veneer on Block,Stone veneer over CMU wall,hardscape,sqft,38.00,stone veneer|wall facing|decorative wall
HSC-WAL-004,Dry-Stack Stone Wall,"Dry-laid natural stone, up to 3 ft",hardscape,lf,110.00,dry stack|natural stone wall|low wall
HSC-WAL-005,Seat Wall Capped 18in,18 inch seat wall with stone cap,hardscape,lf,165.00,seat wall|low wall|capped wall
HSC-WAL-006,Planter Wall 2ft Height,"Block planter wall, stuccoed",hardscape,lf,125.00,planter wall|raised planter
HSC-WAL-007,Wall Cap Cast Concrete,Cast concrete wall cap,hardscape,lf,28.00,wall cap|cap stone
HSC-WAL-008,Wall Cap Natural Stone,Natural flagstone wall cap,hardscape,lf,42.00,natural stone cap|flagstone cap
HSC-WAL-009,Steel Edging Powder Coated,Coyote or Sure-Loc steel landscape edging,hardscape,lf,22.00,steel edging|landscape edging
HSC-WAL-010,Concrete Curb Mow Strip,6 inch concrete mow strip curb,hardscape,lf,18.00,mow strip|concrete curb|edging
HSC-FPT-001,Custom Gas Fire Pit Round 42in,"Custom CMU fire pit, gas, with cap",hardscape,each,4200.00,fire pit|gas fire pit|fire feature|round fire pit
HSC-FPT-002,Custom Gas Fire Pit Square 48in,"Square custom fire pit, gas",hardscape,each,4800.00,fire pit|square fire pit|gas fire pit
HSC-FPT-003,Custom Wood-Burning Fire Pit,Wood-burning masonry fire pit,hardscape,each,3200.00,wood fire pit|wood burning|fire pit
HSC-FPT-004,Fire Pit Pre-Cast Bowl with Gas,"Pre-cast concrete bowl, gas insert",hardscape,each,2400.00,fire bowl|precast fire pit|gas bowl
HSC-FPT-005,Outdoor Fireplace Standard Gas,"Single-sided gas fireplace, 6 ft",hardscape,each,14500.00,outdoor fireplace|gas fireplace|fireplace
HSC-FPT-006,Outdoor Fireplace Premium Stone,"Stone-faced fireplace, larger",hardscape,each,22000.00,premium fireplace|stone fireplace
HSC-FPT-007,Fire Pit Gas Line Connection,Run gas line to fire feature,hardscape,each,850.00,gas line|fire pit gas|gas connection
HSC-FPT-008,Fire Pit Glass Media,Tempered fire-glass fill,hardscape,each,320.00,fire glass|fire pit media|glass beads
HSC-PRG-001,Aluminum Pergola 10x12,Powder-coated aluminum pergola,hardscape,each,7800.00,pergola|aluminum pergola|shade structure
HSC-PRG-002,Aluminum Pergola 12x16,Larger powder-coated aluminum pergola,hardscape,each,11500.00,pergola|aluminum pergola|large pergola
HSC-PRG-003,Aluminum Louvered Pergola 10x12,Motorized louvered roof pergola,hardscape,each,18500.00,louvered pergola|motorized pergola|smart pergola
HSC-PRG-004,Wood Pergola Cedar 10x12,Stained cedar pergola,hardscape,each,9500.00,cedar pergola|wood pergola
HSC-PRG-005,Wood Pergola Cedar 12x16,Larger cedar pergola,hardscape,each,14000.00,cedar pergola|wood pergola|large pergola
HSC-PRG-006,Shade Sail Triangle Custom,Custom commercial-grade shade sail,hardscape,each,2400.00,shade sail|sun shade|triangle shade
HSC-PRG-007,Patio Cover Solid Roof 12x14,Solid insulated alumawood cover,hardscape,each,9800.00,patio cover|solid cover|alumawood cover
HSC-PRG-008,Ramada CMU Columns Wood Beams,Custom ramada structure,hardscape,each,28000.00,ramada|patio structure|custom shade
HSC-PRG-009,Pergola Ceiling Fan,Outdoor-rated ceiling fan with electrical,hardscape,each,720.00,ceiling fan|outdoor fan|pergola fan
HSC-PRG-010,Pergola Lighting Package,LED strip plus downlights for pergola,hardscape,each,1100.00,pergola lighting|led lighting|shade lighting
HSC-KIT-001,Outdoor Kitchen Island 8ft Base,"CMU island, stucco, granite top",hardscape,each,8500.00,outdoor kitchen|bbq island|kitchen island
HSC-KIT-002,Outdoor Kitchen Island L-Shape 10ft,L-shaped CMU outdoor kitchen,hardscape,each,12500.00,outdoor kitchen|l shape kitchen|bbq island
HSC-KIT-003,Outdoor Kitchen Island U-Shape 12ft,Full U-shape outdoor kitchen,hardscape,each,18500.00,outdoor kitchen|u shape kitchen|large kitchen
HSC-KIT-004,Built-In BBQ Standard 36in,"Stainless 36 inch gas grill, built-in",hardscape,each,1850.00,bbq|grill|built in grill
HSC-KIT-005,Built-In BBQ Premium 40in+,Premium grill (Lynx or Hestan tier),hardscape,each,4200.00,premium bbq|lynx grill|hestan|high end grill
HSC-KIT-006,Side Burner Built-In,Built-in side burner,hardscape,each,650.00,side burner|bbq accessory
HSC-KIT-007,Outdoor Refrigerator Built-In,Stainless outdoor refrigerator,hardscape,each,1450.00,outdoor fridge|bbq fridge
HSC-KIT-008,Kegerator Built-In,Built-in outdoor kegerator,hardscape,each,2200.00,kegerator|outdoor kegerator
HSC-KIT-009,Granite Countertop,Granite slab on outdoor kitchen,hardscape,sqft,95.00,granite|countertop|kitchen countertop
HSC-KIT-010,Quartzite Countertop,Quartzite slab on outdoor kitchen,hardscape,sqft,140.00,quartzite|countertop|premium countertop
